image,image_path,xmin,ymin,xmax,ymax,label,confidence,x_size,y_size
img0016.jpg,/usr/scratch/anand/dip_project/ownyolo/Data/Source_Images/Test_Images/img0016.jpg,424,144,465,198,0,0.7980148196220398,960,540
img0017.jpg,/usr/scratch/anand/dip_project/ownyolo/Data/Source_Images/Test_Images/img0017.jpg,405,132,465,212,0,0.776138424873352,960,540
img0018.jpg,/usr/scratch/anand/dip_project/ownyolo/Data/Source_Images/Test_Images/img0018.jpg,584,97,787,269,0,0.5212156176567078,960,540
img0018.jpg,/usr/scratch/anand/dip_project/ownyolo/Data/Source_Images/Test_Images/img0018.jpg,407,152,455,211,0,0.8706961870193481,960,540
img0019.jpg,/usr/scratch/anand/dip_project/ownyolo/Data/Source_Images/Test_Images/img0019.jpg,403,152,454,216,0,0.9159850478172302,960,540
img0020.jpg,/usr/scratch/anand/dip_project/ownyolo/Data/Source_Images/Test_Images/img0020.jpg,401,162,450,217,0,0.6635217070579529,960,540
img0021.jpg,/usr/scratch/anand/dip_project/ownyolo/Data/Source_Images/Test_Images/img0021.jpg,399,172,456,228,0,0.7235814929008484,960,540
img0022.jpg,/usr/scratch/anand/dip_project/ownyolo/Data/Source_Images/Test_Images/img0022.jpg,388,177,438,224,0,0.9630140066146851,960,540
img0023.jpg,/usr/scratch/anand/dip_project/ownyolo/Data/Source_Images/Test_Images/img0023.jpg,389,173,436,243,0,0.9263166785240173,960,540
img0024.jpg,/usr/scratch/anand/dip_project/ownyolo/Data/Source_Images/Test_Images/img0024.jpg,381,183,445,252,0,0.7631284594535828,960,540
img0025.jpg,/usr/scratch/anand/dip_project/ownyolo/Data/Source_Images/Test_Images/img0025.jpg,370,183,452,253,0,0.7293322086334229,960,540
img0026.jpg,/usr/scratch/anand/dip_project/ownyolo/Data/Source_Images/Test_Images/img0026.jpg,381,182,441,255,0,0.8434158563613892,960,540
img0027.jpg,/usr/scratch/anand/dip_project/ownyolo/Data/Source_Images/Test_Images/img0027.jpg,411,214,455,260,0,0.3587239980697632,960,540
img0028.jpg,/usr/scratch/anand/dip_project/ownyolo/Data/Source_Images/Test_Images/img0028.jpg,409,214,452,265,0,0.9069058299064636,960,540
img0029.jpg,/usr/scratch/anand/dip_project/ownyolo/Data/Source_Images/Test_Images/img0029.jpg,394,206,447,274,0,0.7853193879127502,960,540
img0030.jpg,/usr/scratch/anand/dip_project/ownyolo/Data/Source_Images/Test_Images/img0030.jpg,394,212,445,272,0,0.740551233291626,960,540
img0031.jpg,/usr/scratch/anand/dip_project/ownyolo/Data/Source_Images/Test_Images/img0031.jpg,397,219,458,271,0,0.6903010010719299,960,540
